lat,mmsi,cog,lng,sog,ts,heading
36.00866783,209203000,280,120.4353213,13.03333333,1648164870,281
36.00871992,209203000,280.25,120.4349572,13.11666667,1648164875,281
36.008772,209203000,280.5,120.434593,13.2,1648164880,281
36.008822,209203000,280,120.4342274,13.1375,1648164885,281
36.008872,209203000,279.5,120.433861,13.14,1648164890,281
36.008922,209203000,279,120.4334935,13.24,1648164895,281
36.008973,209203000,278.7833333,120.4331242,13.33333333,1648164900,281
36.0090255,209203000,278.9916667,120.4327521,13.41666667,1648164905,281
36.009078,209203000,279.2,120.43238,13.5,1648164910,281
36.00913238,209203000,279.2,120.4320038,13.5,1648164915,281
36.00918944,209203000,279.2888889,120.4316091,13.54444444,1648164920,281
36.00925056,209203000,279.5111111,120.4311869,13.65555556,1648164925,281
36.00930269,209203000,279.7153846,120.4308242,13.7,1648164930,281
36.00934885,209203000,279.9076923,120.4305011,13.7,1648164935,281
36.009395,209203000,280.1,120.430178,13.7,1648164940,281
36.0094575,209203000,280.1625,120.4297449,13.7,1648164945,281
36.00951944,209203000,280.2222222,120.4293132,13.74444444,1648164950,281
36.00958056,209203000,280.2777778,120.4288838,13.85555556,1648164955,281
36.00963223,209203000,280.3692308,120.4285154,13.9,1648164960,281
36.00967762,209203000,280.4846154,120.4281877,13.9,1648164965,281
36.009723,209203000,280.6,120.42786,13.9,1648164970,281
36.00977738,209203000,281.1,120.4274706,13.9625,1648164975,281
36.0098375,209203000,280.35,120.427042,14,1648164980,281
36.0099058,209203000,279.84,120.4265626,14,1648164985,280.4
36.009963,209203000,279.7285714,120.426169,14.04285714,1648164990,280
36.01001775,209203000,279.325,120.4257973,14.075,1648164995,280
36.010082,209203000,279.7833333,120.4253522,14.01666667,1648165000,280
36.010127,209203000,278.7,120.425023,14.1,1648165005,280
36.010188,209203000,279.6333333,120.4245737,14.06666667,1648165010,280
36.01023767,209203000,279.2333333,120.4242027,14.13333333,1648165015,280
36.01029533,209203000,279.2,120.4237797,14.13333333,1648165020,280
36.010342,209203000,279.05,120.4234355,14.2,1648165025,280
36.010392,209203000,280.3,120.423038,14.2,1648165030,280
36.01043617,209203000,279.05,120.4226413,14.2,1648165035,280
36.010487,209203000,278.4666667,120.4222427,14.26666667,1648165040,280
36.010535,209203000,279.26,120.4218394,14.24,1648165045,280
36.01057957,209203000,279.1714286,120.4214696,14.28571429,1648165050,280
36.0106274,209203000,278.54,120.4210958,14.4,1648165055,279.8
36.01068783,209203000,279.6,120.4206255,14.36666667,1648165060,279
36.010742,209203000,278.1,120.420218,14.2,1648165065,279
36.010797,209203000,279.7666667,120.419813,14.28333333,1648165070,279
36.01084933,209203000,280.1,120.419406,14.3,1648165075,279
36.01089914,209203000,279.1142857,120.4190009,14.34285714,1648165080,279
36.01094533,209203000,277.75,120.4186108,14.38333333,1648165085,279
36.010982,209203000,277.5,120.418275,14.3,1648165090,279
36.01102617,209203000,276.9166667,120.4178042,14.3,1648165095,279.8333333
36.01106967,209203000,277.4666667,120.4173867,14.36666667,1648165100,280
36.0111116,209203000,278.7,120.4169808,14.4,1648165105,280
36.0111555,209203000,278.65,120.4165755,14.4,1648165110,280
36.011203,209203000,278.0333333,120.4161703,14.43333333,1648165115,280
36.011255,209203000,278.34,120.4157466,14.5,1648165120,280
36.01131329,209203000,279.2142857,120.4152714,14.5,1648165125,279.8571429
36.01136471,209203000,278.7857143,120.4148636,14.5,1648165130,279.1428571
36.01141633,209203000,278.3,120.414456,14.5,1648165135,279
36.011461,209203000,278.5285714,120.414083,14.45714286,1648165140,279
36.01150217,209203000,278.8333333,120.4137222,14.4,1648165145,279
36.011548,209203000,277.5,120.413318,14.4,1648165150,279
36.011598,209203000,278.3333333,120.4129113,14.56666667,1648165155,279
36.01164682,209203000,278.6882353,120.4124846,14.57647059,1648165160,279
36.01169535,209203000,278.9235294,120.4120528,14.54705882,1648165165,279
36.01174388,209203000,279.1588235,120.4116211,14.51764706,1648165170,279
36.011787,209203000,278.5,120.411227,14.5,1648165175,279
36.011825,209203000,276.9833333,120.410875,14.5,1648165180,279
36.011875,209203000,277.4,120.410465,14.5,1648165185,279
36.01192333,209203000,279.4,120.4100508,14.5,1648165190,278.1666667
36.011973,209203000,277.6666667,120.409638,14.5,1648165195,278
36.01202514,209203000,277.1142857,120.4092274,14.5,1648165200,278
36.0120764,209203000,278.1,120.4088014,14.5,1648165205,278
36.01211883,209203000,278.6333333,120.4083253,14.48333333,1648165210,278
36.012163,209203000,275.3,120.407917,14.4,1648165215,278
36.01220229,209203000,277.0857143,120.4075599,14.54285714,1648165220,278
36.0122432,209203000,277.02,120.4071668,14.6,1648165225,278
36.01228486,209203000,276.1142857,120.406787,14.51428571,1648165230,278
36.0123284,209203000,275.9,120.406402,14.44,1648165235,278
36.01237967,209203000,277.2333333,120.4059128,14.58333333,1648165240,278
36.012428,209203000,277.9,120.405487,14.5,1648165245,278
36.01247133,209203000,276.3166667,120.4050687,14.58333333,1648165250,278
36.01251333,209203000,277.4,120.4046583,14.66666667,1648165255,277.3333333
36.01255,209203000,277.5,120.404204,14.65,1648165260,277
36.012584,209203000,276.8,120.403776,14.6,1648165265,277
36.01261914,209203000,276.8285714,120.4034199,14.58571429,1648165270,277
36.01265486,209203000,277.9714286,120.4030091,14.51428571,1648165275,277
36.01268867,209203000,276.1333333,120.4025943,14.56666667,1648165280,277
36.012732,209203000,275.76,120.402137,14.54,1648165285,277
36.0127735,209203000,275.7,120.401699,14.55,1648165290,277
36.01281233,209203000,275.5,120.4012907,14.56666667,1648165295,277
36.0128525,209203000,276.1166667,120.4008937,14.51666667,1648165300,277
36.01288,209203000,276.2,120.400552,14.6,1648165305,277
36.01291214,209203000,275.1285714,120.4001399,14.6,1648165310,277
36.0129442,209203000,275.54,120.399729,14.6,1648165315,277
36.01297457,209203000,275.8857143,120.3993177,14.6,1648165320,277
36.01300583,209203000,275.4666667,120.398907,14.58333333,1648165325,277
36.013045,209203000,274.8,120.398502,14.5,1648165330,277
36.01307833,209203000,275.3,120.3980937,14.41666667,1648165335,277
36.013115,209203000,275.4666667,120.397686,14.6,1648165340,277.6666667
36.0131492,209203000,275.44,120.397277,14.52,1648165345,278
36.01318257,209203000,275.4428571,120.3969026,14.52857143,1648165350,278
36.01321845,209203000,275.5454545,120.3965323,14.66363636,1648165355,278
36.01326073,209203000,275.7727273,120.3960836,14.48181818,1648165360,278
36.013303,209203000,276,120.395635,14.3,1648165365,278
36.01334014,209203000,276.1428571,120.3952207,14.37142857,1648165370,278
36.0133775,209203000,276.35,120.394806,14.5,1648165375,278
36.013418,209203000,276.26,120.3943582,14.64,1648165380,278
36.01345833,209203000,276.1,120.3939207,14.63333333,1648165385,278
36.01349257,209203000,276.5,120.3935586,14.5,1648165390,278.1428571
36.01353043,209203000,276.5,120.3931414,14.5,1648165395,278.8571429
36.01357133,209203000,276.5,120.392728,14.63333333,1648165400,279
36.013612,209203000,276.2,120.3923134,14.46,1648165405,279
36.013653,209203000,275.8,120.3918985,14.45,1648165410,279
36.013693,209203000,276.2666667,120.3914843,14.63333333,1648165415,279.3333333
36.01373117,209203000,277.4666667,120.39107,14.66666667,1648165420,280
36.013772,209203000,276.8,120.390655,14.5,1648165425,280
36.01382557,209203000,276.9428571,120.3901814,14.42857143,1648165430,280.7142857
36.0138675,209203000,277.5,120.3897845,14.55,1648165435,281
36.0139175,209203000,277.45,120.38933,14.7,1648165440,281.5
36.01397271,209203000,278.0142857,120.3888696,14.57142857,1648165445,282
36.014016,209203000,279.6142857,120.3885147,14.41428571,1648165450,282
36.014061,209203000,280.1857143,120.3881633,14.48571429,1648165455,282
36.01412133,209203000,280.2333333,120.3877643,14.43333333,1648165460,282
36.0141866,209203000,279.78,120.387306,14.52,1648165465,282
36.0142455,209203000,279.25,120.3868615,14.6,1648165470,282
36.01429633,209203000,279.1,120.386481,14.56666667,1648165475,282.3333333
36.0143494,209203000,279.58,120.386104,14.5,1648165480,283
36.01442538,209203000,280.7125,120.385592,14.4875,1648165485,283
36.01447725,209203000,280.775,120.385292,14.425,1648165490,283
36.0145442,209203000,280.56,120.3848798,14.4,1648165495,283
36.0146212,209203000,280.82,120.3843898,14.46,1648165500,283
36.014682,209203000,281.4,120.3840093,14.5,1648165505,283
36.014732,209203000,281.9,120.383703,14.5,1648165510,283
36.014803,209203000,281.7,120.383295,14.6,1648165515,283
36.01487229,209203000,282.0571429,120.3828864,14.52857143,1648165520,283
36.0149402,209203000,281.48,120.3824782,14.56,1648165525,283
36.015006,209203000,280.5285714,120.3820716,14.55714286,1648165530,283
36.01507083,209203000,280.25,120.3816658,14.48333333,1648165535,283
36.015135,209203000,282,120.38126,14.4,1648165540,283
36.01519167,209203000,281.8333333,120.3809242,14.31666667,1648165545,283
36.01525867,209203000,281.6666667,120.3805373,14.23333333,1648165550,283
36.01532825,209203000,281.5,120.3801378,14.15,1648165555,283
36.015409,209203000,280.65,120.379659,14.1,1648165560,283
36.01547988,209203000,280.125,120.3792111,14.025,1648165565,283
36.015533,209203000,280.5,120.378863,13.9,1648165570,283
36.01558467,209203000,281.4166667,120.3785355,13.98333333,1648165575,283.8333333
36.01565633,209203000,281.7333333,120.3781087,13.86666667,1648165580,284
36.0157356,209203000,282.22,120.377652,13.74,1648165585,283.4
36.01580314,209203000,281.9428571,120.377273,13.57142857,1648165590,283
36.015862,209203000,281.2,120.3769372,13.38333333,1648165595,283
36.015922,209203000,281.2,120.376558,13.3,1648165600,283
36.016,209203000,280.8,120.376108,13.2,1648165605,283
